City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Rudbar,AF,2022-08-06 17:20:34,30.15,62.6,95.14,11,0,15.32
68,Ballina,AU,2022-08-06 17:20:35,-28.8667,153.5667,51.84,68,0,8.61
69,Hilo,US,2022-08-06 17:17:38,19.7297,-155.09,77.29,93,75,4.61
70,Capao Da Canoa,BR,2022-08-06 17:20:35,-29.7456,-50.0097,56.64,68,69,7.78
71,Tasiilaq,GL,2022-08-06 17:20:36,65.6145,-37.6368,44.76,80,100,14.09
72,Busselton,AU,2022-08-06 17:20:36,-33.65,115.3333,52.83,92,57,11.48
73,Chokurdakh,RU,2022-08-06 17:20:37,70.6333,147.9167,35.76,94,100,7.99
74,Saint-Philippe,RE,2022-08-06 17:20:38,-21.3585,55.7679,67.59,72,58,5.7
75,Mabaruma,GY,2022-08-06 17:20:38,8.2,-59.7833,90.7,49,54,5.41
76,Inhambane,MZ,2022-08-06 17:20:39,-23.865,35.3833,71.58,88,20,6.91
77,Norman Wells,CA,2022-08-06 17:20:40,65.282,-126.8329,57.24,94,100,19.57
78,Lorengau,PG,2022-08-06 17:16:01,-2.0226,147.2712,80.2,78,100,3.62
79,Albany,US,2022-08-06 17:20:40,42.6001,-73.9662,93.16,55,36,3.0
80,Hithadhoo,MV,2022-08-06 17:20:41,-0.6,73.0833,82.78,72,47,10.45
81,Ahipara,NZ,2022-08-06 17:20:41,-35.1667,173.1667,60.39,92,100,9.64
82,New Norfolk,AU,2022-08-06 17:20:42,-42.7826,147.0587,42.3,74,100,1.66
83,Havre-Saint-Pierre,CA,2022-08-06 17:20:42,50.2334,-63.5986,70.16,56,0,10.36
84,Clyde River,CA,2022-08-06 17:15:59,70.4692,-68.5914,43.03,75,100,18.41
85,Kenai,US,2022-08-06 17:20:43,60.5544,-151.2583,58.03,76,75,14.97
86,Narsaq,GL,2022-08-06 17:20:44,60.9167,-46.05,50.22,95,99,8.77
87,Lebu,CL,2022-08-06 17:20:44,-37.6167,-73.65,50.02,95,100,5.39
88,Bethel,US,2022-08-06 17:20:46,41.3712,-73.414,92.35,58,20,11.5
89,Sayyan,YE,2022-08-06 17:20:46,15.1718,44.3244,61.34,75,87,5.66
90,Port Alfred,ZA,2022-08-06 17:20:47,-33.5906,26.891,58.17,94,36,1.01
