City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bara,NG,10.3744,10.7288,67.03,20,0,6.15,clear sky
80,Palmas De Monte Alto,BR,-14.2672,-43.1619,70.56,86,99,4.72,overcast clouds
81,Kingaroy,AU,-26.5333,151.8333,82.22,14,97,8.3,overcast clouds
82,Teya,RU,60.3778,92.6267,-0.18,99,100,2.28,overcast clouds
83,Mar Del Plata,AR,-38.0023,-57.5575,57.94,77,0,11.99,clear sky
84,Gushikawa,JP,26.3544,127.8686,73.4,98,75,6.91,moderate rain
85,Flin Flon,CA,54.7682,-101.865,22.51,97,97,5.39,overcast clouds
86,Hilo,US,19.7297,-155.09,78.53,69,40,13.8,scattered clouds
87,Belfast,GB,54.5833,-5.9333,41.47,93,100,4.61,overcast clouds
88,Kichmengskiy Gorodok,RU,59.9816,45.7854,17.73,85,100,5.93,overcast clouds
89,Kavieng,PG,-2.5744,150.7967,86.31,58,32,14.2,scattered clouds
90,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,64,100,10.36,overcast clouds
91,Korla,CN,41.7597,86.1469,33.04,30,7,3.83,clear sky
92,Brunico,IT,46.7958,11.9364,37.09,100,100,1.97,overcast clouds
93,Huarmey,PE,-10.0681,-78.1522,65.7,85,2,5.3,clear sky
94,Nuuk,GL,64.1835,-51.7216,14.2,92,86,6.06,overcast clouds
95,Kokkola,FI,63.8385,23.1307,21.92,94,100,6.91,overcast clouds
96,Tiksi,RU,71.6872,128.8694,-22.72,100,96,2.89,overcast clouds
97,Tasiilaq,GL,65.6145,-37.6368,35.76,79,100,27.11,overcast clouds
98,Podujevo,XK,42.9106,21.1931,40.96,96,43,6.29,scattered clouds
99,Vanimo,PG,-2.6741,141.3028,85.21,68,54,6.53,light rain
100,Eureka,US,40.8021,-124.1637,57.25,89,100,1.99,overcast clouds
101,Clyde River,CA,70.4692,-68.5914,3.43,78,100,10.36,overcast clouds
102,Elizabethton,US,36.3487,-82.2107,43.57,71,0,0.0,clear sky
103,Lynchburg,US,37.4138,-79.1423,40.14,57,0,0.0,clear sky
104,Gillette,US,44.2911,-105.5022,32.92,67,0,5.75,clear sky
105,Kaeo,NZ,-35.1,173.7833,74.32,59,3,12.97,clear sky
106,Vao,NC,-22.6667,167.4833,76.78,72,4,5.41,clear sky
107,Norman Wells,CA,65.282,-126.8329,17.64,93,100,12.66,light snow
108,Maceio,BR,-9.6658,-35.7353,72.84,94,40,2.3,scattered clouds
109,Bulalacao,PH,12.3254,121.3435,83.77,73,99,15.03,overcast clouds
110,Vila Velha,BR,-20.3297,-40.2925,75.15,90,75,5.75,light rain
111,Fairbanks,US,64.8378,-147.7164,15.1,88,100,0.0,light snow
112,Eaton Socon,GB,52.2175,-0.2893,41.36,95,12,8.23,few clouds
113,Khasan,RU,42.4308,130.6434,42.82,70,100,8.14,overcast clouds
114,Qui Nhon,VN,13.7667,109.2333,79.56,88,100,4.74,overcast clouds
115,Ambilobe,MG,-13.2,49.05,71.64,92,37,3.15,scattered clouds
116,Ostroleka,PL,53.0862,21.5757,31.93,92,100,6.22,overcast clouds
117,Havoysund,NO,70.9963,24.6622,28.63,81,29,8.23,scattered clouds
118,Gat,IL,31.61,34.7642,61.81,82,1,5.12,clear sky
119,Esperance,AU,-33.8667,121.9,75.7,39,89,10.4,overcast clouds
120,Balclutha,NZ,-46.2339,169.75,67.59,29,63,3.87,broken clouds
121,Adrar,MR,20.5022,-10.0711,58.96,18,0,9.82,clear sky
122,Joura,IN,26.3411,77.8115,61.27,44,81,3.71,broken clouds
123,Codrington,AU,-38.2667,141.9667,59.81,68,68,15.14,broken clouds
124,Port Hardy,CA,50.6996,-127.4199,45.43,89,13,3.11,few clouds
125,Isangel,VU,-19.55,169.2667,84.74,68,61,3.83,broken clouds
126,Loyga,RU,61.0784,44.6075,10.72,93,100,4.7,overcast clouds
127,Blackwater,AU,-23.5833,148.8833,84.45,19,82,6.11,broken clouds
128,Avera,US,33.194,-82.5271,54.37,54,100,5.19,overcast clouds
129,Kapaa,US,22.0752,-159.319,82.38,81,75,14.97,broken clouds
130,Awjilah,LY,29.1081,21.2869,59.5,58,0,8.43,clear sky
131,Guerrero Negro,MX,27.9769,-114.0611,64.76,51,80,9.44,broken clouds
132,Pevek,RU,69.7008,170.3133,-27.26,100,99,6.2,overcast clouds
133,Constantine,DZ,36.365,6.6147,49.41,66,40,19.57,scattered clouds
134,Bethel,US,41.3712,-73.414,44.47,65,0,3.44,clear sky
135,Yugo-Kamskiy,RU,57.7053,55.5894,15.82,95,100,3.13,overcast clouds
136,Sijunjung,ID,-0.6876,100.9537,81.97,65,89,3.78,overcast clouds
137,Olinda,BR,-8.0089,-34.8553,78.53,73,75,5.75,broken clouds
138,Birao,CF,10.2849,22.7882,71.2,36,41,4.99,scattered clouds
139,Algiers,DZ,36.7525,3.042,55.22,72,40,9.22,scattered clouds
140,Brownfield,US,33.1812,-102.2744,47.39,51,100,7.56,overcast clouds
141,Lincoln,US,40.8,-96.667,45.34,50,0,9.22,clear sky
142,Tommot,RU,58.9564,126.2925,0.52,93,100,6.42,overcast clouds
143,Carnarvon,AU,-24.8667,113.6333,76.51,59,0,5.46,clear sky
144,Port Lincoln,AU,-34.7333,135.8667,61.36,55,100,2.46,overcast clouds
145,Christchurch,NZ,-43.5333,172.6333,74.41,24,4,18.41,clear sky
146,Sambava,MG,-14.2667,50.1667,72.1,89,100,7.05,overcast clouds
147,Okmulgee,US,35.6234,-95.9605,47.08,61,0,4.61,clear sky
148,Hofn,IS,64.2539,-15.2082,38.71,72,97,40.42,overcast clouds
149,Mbaiki,CF,3.8678,17.9892,69.17,91,7,2.33,clear sky
150,Chokurdakh,RU,70.6333,147.9167,-29.92,100,98,3.0,overcast clouds
151,Mahebourg,MU,-20.4081,57.7,76.24,88,75,3.44,broken clouds
152,Ostrovnoy,RU,68.0531,39.5131,36.09,85,96,11.36,overcast clouds
153,Poum,NC,-20.2333,164.0167,79.41,80,97,5.1,overcast clouds
154,Raudeberg,NO,61.9875,5.1352,43.47,51,100,11.74,overcast clouds
155,Chapais,CA,49.7834,-74.8492,19.18,94,100,9.06,overcast clouds
156,Shumikha,RU,55.2261,63.2961,1.17,96,25,4.25,scattered clouds
157,Jamkhed,IN,18.7362,75.3121,67.21,41,36,7.85,scattered clouds
158,Tayu,ID,-6.5397,111.0518,83.37,72,100,6.82,moderate rain
159,Munirabad,IN,15.3333,76.3333,71.94,85,92,5.26,overcast clouds
160,Port Augusta,AU,-32.5,137.7667,70.61,42,0,6.55,clear sky
161,Nyurba,RU,63.2842,118.3319,-18.54,99,97,4.85,overcast clouds
162,Pitrufquen,CL,-38.9833,-72.65,57.22,94,100,8.05,overcast clouds
163,Leh,IN,34.1667,77.5833,8.49,56,1,3.67,clear sky
164,Kampot,KH,10.6167,104.1833,84.25,87,98,5.08,overcast clouds
165,Marienburg,PL,54.0359,19.0266,35.85,92,100,5.93,overcast clouds
166,Saskylakh,RU,71.9167,114.0833,-38.29,100,63,1.68,broken clouds
167,Mehamn,NO,71.0357,27.8492,28.35,86,8,10.36,clear sky
168,Cape Town,ZA,-33.9258,18.4232,61.12,88,0,5.01,clear sky
169,Lagunas,PE,-5.2269,-75.6753,75.67,94,100,0.49,overcast clouds
170,Flinders,AU,-34.5833,150.8552,77.18,50,7,11.99,clear sky
171,New Norfolk,AU,-42.7826,147.0587,65.71,44,15,5.99,few clouds
172,Voh,NC,-20.9667,164.7,87.87,56,97,7.67,overcast clouds
173,Lebu,CL,-37.6167,-73.65,56.71,91,92,13.09,overcast clouds
174,Cardston,CA,49.2,-113.3019,39.29,65,100,5.75,overcast clouds
175,Rawson,AR,-43.3002,-65.1023,72.7,40,98,12.26,overcast clouds
176,Bandarbeyla,SO,9.4942,50.8122,75.94,70,96,13.53,overcast clouds
177,Liaozhong,CN,41.5061,122.7242,43.0,64,2,6.17,clear sky
178,Kieta,PG,-6.2167,155.6333,86.59,60,31,4.56,scattered clouds
179,Sungairaya,ID,0.7,108.9,86.43,62,84,5.7,broken clouds
180,Zhangjiakou,CN,40.81,114.8794,40.35,46,17,1.68,few clouds
181,Teahupoo,PF,-17.8333,-149.2667,78.76,82,100,14.65,overcast clouds
182,Luderitz,NA,-26.6481,15.1594,60.51,80,0,4.52,clear sky
183,Rio Grande,BR,-32.035,-52.0986,64.15,83,73,8.43,broken clouds
184,Hamilton,US,39.1834,-84.5333,45.55,54,0,5.75,clear sky
185,Bayir,TR,37.2687,28.2167,52.32,94,100,7.07,overcast clouds
186,Cherskiy,RU,68.75,161.3,-37.39,100,34,1.74,scattered clouds
187,Rosetta,EG,31.4044,30.4164,65.7,58,0,2.66,clear sky
188,Hay River,CA,60.8156,-115.7999,33.78,93,75,9.22,broken clouds
189,Goure,NE,13.9835,10.2704,64.63,16,0,9.35,clear sky
190,Pocone,BR,-16.2567,-56.6228,76.05,71,100,3.89,overcast clouds
191,Tuatapere,NZ,-46.1333,167.6833,62.26,39,85,8.59,overcast clouds
192,Kawambwa,ZM,-9.7915,29.0791,60.66,98,91,1.63,light rain
193,Yazd,IR,31.8972,54.3675,46.51,46,0,4.61,clear sky
194,Pokrovsk,UA,48.282,37.1758,34.75,79,87,14.07,overcast clouds
195,Itaguai,BR,-22.8522,-43.7753,74.82,88,0,3.44,clear sky
196,Prince Rupert,CA,54.3161,-130.3201,46.09,91,100,10.36,light rain
197,Swakopmund,NA,-22.6833,14.5333,58.98,86,0,1.01,clear sky
198,Vestmannaeyjar,IS,63.4427,-20.2734,37.22,60,99,15.48,overcast clouds
199,Morehead,US,37.2711,-87.1764,43.0,60,0,0.0,clear sky
200,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,93,100,3.31,overcast clouds
201,Klaksvik,FO,62.2266,-6.589,40.12,84,100,22.03,light rain
202,Maldonado,UY,-34.6667,-54.9167,54.79,91,0,2.93,clear sky
203,Kyshtovka,RU,56.555,76.6271,-7.28,93,96,10.47,overcast clouds
204,Qinzhou,CN,21.95,108.6167,69.46,91,100,9.71,overcast clouds
205,Ozernovskiy,RU,51.5,156.5167,34.97,62,100,30.29,light snow
206,Lufkin,US,31.3382,-94.7291,51.71,84,75,3.44,broken clouds
207,Port Elizabeth,ZA,-33.918,25.5701,64.69,94,0,3.44,clear sky
208,Puebloviejo,CO,10.9938,-74.2844,82.04,78,40,6.91,scattered clouds
209,Southbridge,US,42.0751,-72.0334,37.51,76,66,3.0,broken clouds
210,Port Macquarie,AU,-31.4333,152.9167,77.9,41,7,10.22,clear sky
211,Grand Gaube,MU,-20.0064,57.6608,76.37,75,2,5.01,clear sky
