City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
282,Yenagoa,NG,75.33,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
284,Faanui,PF,80.73,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
286,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
287,Sao Joao Da Barra,BR,73.87,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
288,Puerto Escondido,MX,81.43,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
289,Noumea,NC,84.18,clear sky,-22.2763,166.4572,Hôtel Le Lagon
290,Atambua,ID,83.07,broken clouds,-9.1061,124.8925,Ros Muskanan
291,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
292,Dingle,PH,84.87,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
293,Inhambane,MZ,73.0,clear sky,-23.865,35.3833,Oceano
294,Omboue,GA,76.48,overcast clouds,-1.5746,9.2618,Hotel Olako
296,Ucluelet,CA,50.09,few clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
299,San Patricio,US,53.91,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
300,Aswan,EG,70.34,few clouds,24.0934,32.907,Nuba Nile
302,Trinidad,BO,74.62,overcast clouds,-14.8333,-64.9,Hotel Piesta
303,Ballina,AU,81.01,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
304,Concarneau,FR,60.82,overcast clouds,47.875,-3.9225,Brit Hotel de L' Océan
305,Naze,JP,68.92,moderate rain,28.3667,129.4833,
306,Coihaique,CL,57.15,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
307,Sydney,AU,81.32,clear sky,-33.8679,151.2073,The Grace Sydney
309,Okato,NZ,59.68,scattered clouds,-39.2,173.8833,Goodin Country Garden
310,La Tebaida,CO,67.77,scattered clouds,4.4527,-75.7875,El Triángulo
311,Manado,ID,88.57,few clouds,1.487,124.8455,Aryaduta Hotel
312,Bahraich,IN,59.43,scattered clouds,27.5833,81.6,Narain Guest House
313,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,
315,Mana,GF,78.82,overcast clouds,5.6592,-53.7767,LE SAMANA
316,Luena,AO,60.15,overcast clouds,-11.7833,19.9167,Hotel Kandamba
317,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
319,Bredasdorp,ZA,58.59,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
320,Sao Filipe,CV,79.27,scattered clouds,14.8961,-24.4956,Hotel Xaguate
321,La Palma,US,66.81,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
322,Port-Gentil,GA,79.09,overcast clouds,-0.7193,8.7815,Fengshui Residence
323,Soria,ES,51.12,overcast clouds,41.6667,-2.6667,Casa Rural Sierra de Inodejo
324,Saldanha,ZA,59.56,clear sky,-33.0117,17.9442,Blue Bay Lodge
325,Ahipara,NZ,65.44,clear sky,-35.1667,173.1667,Ahipara Holiday Park
326,Ladario,BR,73.44,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
327,Pedernales,DO,78.93,clear sky,18.0384,-71.744,Hotel Costa Marina
329,Fortuna,US,56.93,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
330,Tual,ID,84.69,broken clouds,-5.6667,132.75,Grand Vilia Hotel
331,Inhuma,BR,78.84,scattered clouds,-6.6683,-41.7078,Bom Gosto
333,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
334,Benghazi,LY,68.23,overcast clouds,32.1167,20.0667,Tibesti Hotel
338,Sonoita,MX,63.54,overcast clouds,31.85,-112.8333,Hotel internacional
340,Shimoda,JP,57.56,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
341,Comodoro Rivadavia,AR,69.66,clear sky,-45.8667,-67.5,Austral Hotel
342,Redlands,US,64.33,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
343,Pelham,US,53.4,clear sky,33.2857,-86.81,Birmingham South RV Park
344,Samarai,PG,85.91,scattered clouds,-10.6167,150.6667,Nuli Sapi
348,Jalu,LY,59.56,clear sky,29.0331,21.5482,صاحبة الفخامة
350,Mogadishu,SO,79.65,overcast clouds,2.0371,45.3438,Hotel Juba
352,Half Moon Bay,US,59.45,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
353,Marzuq,YE,58.73,clear sky,14.4,46.4667,حيد القفلة
354,Macapa,BR,82.38,broken clouds,0.0389,-51.0664,Atalanta Hotel
355,Yeppoon,AU,87.58,broken clouds,-23.1333,150.7333,Villa Mar Colina
356,Marsh Harbour,BS,78.78,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
359,Naron,ES,63.45,overcast clouds,43.5167,-8.1528,Marcial
360,Portland,US,52.81,mist,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
361,Umm Lajj,SA,79.25,broken clouds,25.0213,37.2685,Moon light Furnished Units
363,Acarau,BR,79.12,scattered clouds,-2.8856,-40.12,castelo pizzaria
364,Baracoa,CU,79.03,broken clouds,20.3467,-74.4958,Hostal Rio Miel
369,Salalah,OM,75.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
370,Adre,TD,68.09,scattered clouds,13.4667,22.2,
371,Ponta Delgada,PT,65.12,broken clouds,37.7333,-25.6667,Vila Nova Hotel
374,Gladstone,AU,84.13,broken clouds,-23.85,151.25,Highpoint International Hotel
375,Seara,PT,62.17,light rain,41.1818,-7.8003,Six Senses Douro Valley
377,Kasama,ZM,62.6,broken clouds,-10.2129,31.1808,Kalebalika Cottages
379,Banikoara,BJ,70.79,clear sky,11.2985,2.4386,Hôtel de l'UCom CVPC
380,Galle,LK,79.79,broken clouds,6.0367,80.217,Amangalla
383,Ganta,LR,68.43,clear sky,7.3022,-8.5308,
384,Dharur,IN,64.13,overcast clouds,18.8167,76.1167,Hotel Rajmahal
385,Chingola,ZM,62.02,light rain,-12.529,27.8838,Protea Hotel by Marriott Chingola
386,Ipora,BR,71.15,overcast clouds,-16.4419,-51.1178,Oásis Motel
387,Tome,CL,57.81,few clouds,-36.6167,-72.95,Hotel Saint Denis
390,Ixtapa,MX,75.22,clear sky,20.7,-105.2,hotel la terminal
391,Iranshahr,IR,53.94,few clouds,27.2025,60.6848,نیک سرشت
392,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
394,Lagoa,PT,60.42,overcast clouds,39.05,-27.9833,Casa Das Faias
396,Youkounkoun,GN,72.34,overcast clouds,12.5333,-13.1333,
397,Tura,IN,66.02,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
398,Kununurra,AU,85.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
399,Cidreira,BR,67.89,overcast clouds,-30.1811,-50.2056,Hotel Castelo
401,Itarema,BR,78.94,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
402,Katobu,ID,86.61,moderate rain,-4.9408,122.5276,La Ode Husein
403,Alexandria,EG,66.18,clear sky,31.2156,29.9553,فندق قاعود
405,Hobyo,SO,79.29,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
407,Puerto Suarez,BO,75.13,overcast clouds,-18.95,-57.8,Hotel casa real
408,Ghanzi,BW,74.82,overcast clouds,-21.5667,21.7833,Ghanzi Farmhouse
409,Boffa,GN,73.51,broken clouds,10.1667,-14.0333,Hôtel Niara Belly
410,Tiznit,MA,60.31,clear sky,29.5833,-9.5,
413,Taltal,CL,62.91,scattered clouds,-25.4,-70.4833,Residencial Karime
414,Ejido,VE,63.91,few clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
415,Lompoc,US,61.59,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
417,Ikalamavony,MG,64.85,clear sky,-21.15,46.5833,
418,Farias Brito,BR,79.48,scattered clouds,-6.9306,-39.5656,Nossa Casa Hotel
419,Broken Hill,AU,68.58,clear sky,-31.95,141.4333,Royal Exchange Hotel
420,Naisud,PH,84.13,overcast clouds,11.8058,122.1939,ALTUQUERO
422,Cam Ranh,VN,82.36,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
423,Kassala,SD,75.34,clear sky,15.451,36.4,Amassi Hotel Gash
424,Bocas Del Toro,PA,78.75,few clouds,9.3333,-82.25,Hotel Bocas del Toro
425,Zhuji,CN,62.96,overcast clouds,29.7188,120.2423,YaoJiang New Century Grand Hotel Zhuji
426,Grand-Santi,GF,75.09,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
427,Dano,BF,74.19,few clouds,11.15,-3.0667,Auberge Phenix32-Dano
430,Berbera,SO,77.09,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
431,Concepcion Del Oro,MX,59.13,broken clouds,24.6333,-101.4167,Hotel Hacienda San Javier
432,Coquimbo,CL,60.53,overcast clouds,-29.9533,-71.3436,Hotel San Juan
433,Coihueco,CL,68.74,clear sky,-36.6167,-71.8333,"Frutillares, Coihueco"
435,San Andres,CO,80.62,light rain,12.5847,-81.7006,Hotel Arena Blanca
437,Salinopolis,BR,80.02,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
438,Itupiranga,BR,79.12,overcast clouds,-5.1347,-49.3267,Hotel Panorama
440,Kulhudhuffushi,MV,80.58,broken clouds,6.6221,73.07,Haajy Guest House 1
442,Kailua,US,82.38,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
443,Cuamba,MZ,71.49,scattered clouds,-14.8031,36.5372,Hotel Vision
445,Pokhara,NP,61.12,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
447,Ban Nahin,LA,82.87,overcast clouds,18.2418,104.2122,
450,Pacific Grove,US,58.64,clear sky,36.6177,-121.9166,Lovers Point Inn
451,Kavaratti,IN,79.54,broken clouds,10.5669,72.642,Green leaf
452,Fiumicino,IT,51.78,light rain,41.7675,12.2291,Hotel Al Porticciolo
453,Auki,SB,87.26,scattered clouds,-8.7676,160.7034,Auki Motel
455,Nakhon Phanom,TH,84.0,overcast clouds,17.3333,104.4167,ป่ายางรีสอร์ท
456,Ormara,PK,74.61,broken clouds,25.2088,64.6357,Kenara Colony House for Rent
458,Dunedin,NZ,58.5,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
459,Doctor Phillips,US,70.07,overcast clouds,28.4495,-81.4923,Drury Inn & Suites near Universal Orlando Resort™
461,Marondera,ZW,60.62,overcast clouds,-18.1853,31.5519,Mashonganyika Cottage
462,Beni,CD,60.35,overcast clouds,0.5,29.4667,Albertine hotel
463,Padang,ID,75.25,light rain,-0.9492,100.3543,Mercure Padang
466,Praia Da Vitoria,PT,61.05,broken clouds,38.7333,-27.0667,Hotel Branco I
467,San Vicente,AR,60.93,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
470,Champerico,GT,80.58,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
471,Witu,KE,74.66,light rain,-2.3889,40.4382,
473,Coari,BR,72.86,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
474,Touros,BR,79.3,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
475,Caravelas,BR,71.82,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
476,Plouzane,FR,55.45,light rain,48.3833,-4.6167,Lymina
478,Airai,TL,72.61,broken clouds,-8.9266,125.4092,
479,Corinth,GR,60.89,overcast clouds,37.9407,22.9573,Ephira Hotel
480,Dori,BF,74.86,overcast clouds,14.0354,-0.0345,Hôtel Liptako
483,Port Hedland,AU,86.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
485,Magole,TZ,71.56,light rain,-6.3667,37.3667,Juma lubelwa
490,Orikum,AL,59.77,light rain,40.3253,19.4714,Hotel Denta
491,Doctor Arroyo,MX,57.16,scattered clouds,23.6667,-100.1833,Hotel Plaza
492,Presidencia Roque Saenz Pena,AR,62.46,clear sky,-26.7852,-60.4388,Hotel Gualok
493,Laguna,US,56.17,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
498,Erechim,BR,61.32,overcast clouds,-27.6342,-52.2739,Villa Premium Hotel
500,Sarakhs,IR,51.94,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
501,Harper,LR,77.49,light rain,4.375,-7.7169,Screensaver
503,Barranca,PE,65.05,clear sky,-10.75,-77.7667,El Olivar Hospedaje
504,Bosaso,SO,73.38,clear sky,11.2842,49.1816,Red Sea Hotel
507,Jining,CN,53.83,clear sky,35.405,116.5814,Yunhe Star Hotel
509,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
510,Arlit,NE,70.32,overcast clouds,18.7369,7.3853,
511,Sigiriya,LK,75.11,scattered clouds,7.9518,80.7426,Hotel Sigiriya
515,Pochutla,MX,76.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
516,Ardakan,IR,52.86,clear sky,32.31,54.0175,Ardakan Hotel
517,Gold Coast,AU,80.24,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
519,Rincon,US,60.76,overcast clouds,32.296,-81.2354,Days Inn Rincon
520,Waipawa,NZ,65.64,clear sky,-41.4122,175.5153,Tora Coastal Walk
521,Springbok,ZA,55.51,clear sky,-29.6643,17.8865,Undulata Country Lodge
522,Dakar,SN,79.68,clear sky,14.6937,-17.4441,Novotel Dakar
523,Bhadasar,IN,60.03,clear sky,28.2833,74.3167,OMPRAKASH JAKHAR
